product_id,product_name,category,brand,price,discount_pct,final_price,rating,num_reviews,delivery_time_min,city,seller,stock,sold_quantity,profit_margin_pct,is_organic,packaging_type,weight_g,shelf_life_days,reorder_level,demand_index,date_added,expiry_date,offer_type,delivery_status,Revenue,Profit_Amount
16,Patanjali Classic Grocery 101,Grocery,Patanjali,329.68,0,329.68,3.7,560,44,Lucknow,SellerA,74,39,28.1,FALSE,Bottle,750,677,14,20,3/3/2025,1/9/2027,None,On-Time,12857.52,3612.9631200000003
17,Mother Dairy Lite Dairy 52,Dairy,Mother Dairy,211.62,10,190.46,3.4,226,23,Pune,DailyNeeds,111,16,17.2,FALSE,Bottle,500,16,22,19,6/6/2024,6/22/2024,FreeDelivery,On-Time,3047.36,524.1459199999999
18,Aavin Premium Dairy 101,Dairy,Aavin,192.45,20,153.96,4.3,396,32,Ahmedabad,LocalMart,123,56,5.3,FALSE,Pouch,250,12,24,32,1/6/2024,1/18/2024,FlatDiscount,On-Time,8621.76,456.95328
19,Lay's Classic Snacks 961,Snacks,Lay's,39.43,15,33.52,5.0,390,29,Kolkata,LocalMart,110,87,31.1,TRUE,Packet,500,193,22,26,5/24/2024,12/3/2024,FlatDiscount,On-Time,2916.2400000000002,906.9506400000001
20,Lizol Original Household 737,Household,Lizol,667.15,20,533.72,4.6,172,33,Pune,DailyNeeds,96,76,27.1,TRUE,Pouch,1000,1637,19,28,5/26/2025,11/18/2029,FreeDelivery,On-Time,40562.72,10992.49712
21,Britannia Original Snacks 407,Snacks,Britannia,240.5,10,216.45,4.1,487,46,Mumbai,SellerB,109,206,11.2,FALSE,Can,400,330,21,50,11/5/2023,9/30/2024,FlatDiscount,On-Time,44588.7,4993.934399999999
22,Fortune Organic Grocery 168,Grocery,Fortune,471.42,25,353.56,4.1,476,34,Mumbai,UrbanSeller,131,132,18.5,FALSE,Can,300,531,26,45,5/23/2024,11/5/2025,FlatDiscount,Delayed,46669.92,8633.9352
23,Modern Premium Bakery 144,Bakery,Modern,428.55,5,407.12,4.3,368,16,Hyderabad,QuickStores,87,234,39.7,FALSE,Jar,400,4,17,51,1/22/2025,1/26/2025,FlatDiscount,On-Time,95266.08,37820.633760000004
24,Amul Classic Dairy 954,Dairy,Amul,69.42,10,62.48,4.4,462,31,Bengaluru,LocalMart,87,77,33.4,FALSE,Packet,500,8,17,23,9/7/2024,9/15/2024,None,Delayed,4810.96,1606.8606399999999
25,Aavin Fresh Dairy 748,Dairy,Aavin,222.09,25,166.57,4.5,267,53,Mumbai,QuickStores,133,234,16.8,FALSE,Can,500,14,26,63,4/11/2024,4/25/2024,FreeDelivery,Delayed,38977.38,6548.199839999999
26,FreshFarm Original Fruits 804,Fruits & Vegetables,FreshFarm,156.48,0,156.48,4.0,131,24,Hyderabad,UrbanSeller,136,37,6.3,FALSE,Box,250,15,27,18,10/15/2025,10/30/2025,None,Delayed,5789.759999999999,364.75487999999996
27,Britannia Fresh Bakery 886,Bakery,Britannia,414.85,5,394.11,4.2,227,19,Chennai,QuickStores,124,121,27.3,FALSE,Bottle,100,12,24,54,5/12/2024,5/24/2024,None,On-Time,47687.310000000005,13018.63563
28,Aashirvaad Daily Grocery 706,Grocery,Aashirvaad,368.52,30,257.96,3.2,398,25,Hyderabad,UrbanSeller,127,84,11.1,TRUE,Pouch,400,362,25,35,6/13/2025,6/10/2026,FreeDelivery,On-Time,21668.64,2405.21904
29,Patanjali Daily Grocery 796,Grocery,Patanjali,95.09,5,90.34,5.0,502,28,Chennai,DailyNeeds,124,10,13.7,TRUE,Packet,300,440,24,40,12/12/2023,2/24/2025,Buy1Get1,On-Time,903.4000000000001,123.7658
30,Britannia Lite Snacks 121,Snacks,Britannia,113.23,15,96.25,4.4,408,30,Chennai,LocalMart,86,5,20.2,TRUE,Jar,400,319,17,13,9/8/2024,7/24/2025,FlatDiscount,On-Time,481.25,97.2125
31,Harpic Fresh Household 480,Household,Harpic,428.58,10,385.72,4.0,205,24,Hyderabad,UrbanSeller,130,62,10.7,FALSE,Packet,100,987,26,31,8/16/2024,4/30/2027,None,On-Time,23914.640000000003,2558.86648
32,Nivea Family Pack Personal 502,Personal Care,Nivea,84.34,10,75.91,4.2,383,24,Kolkata,LocalMart,112,31,24.1,FALSE,Jar,200,946,22,39,4/7/2025,11/9/2027,FlatDiscount,On-Time,2353.21,567.1236100000001
33,Fortune Organic Grocery 280,Grocery,Fortune,471.9,5,448.3,4.3,437,23,Kolkata,SellerB,76,106,29.4,FALSE,Can,200,646,15,30,12/25/2024,10/2/2026,Cashback,On-Time,47519.8,13970.8212
34,DailyGreens Lite Fruits 299,Fruits & Vegetables,DailyGreens,255.29,20,204.23,4.6,61,28,Delhi,SellerA,119,68,32.2,FALSE,Jar,2000,10,23,17,12/18/2023,12/28/2023,FlatDiscount,Delayed,13887.64,4471.82008
35,Patanjali Original Grocery 870,Grocery,Patanjali,183.59,25,137.69,4.1,361,41,Lucknow,LocalMart,125,201,33.9,FALSE,Can,750,636,25,60,4/7/2024,1/3/2026,Buy1Get1,On-Time,27675.69,9382.05891
36,Harpic Organic Household 834,Household,Harpic,354.05,20,283.24,4.4,424,34,Lucknow,DailyNeeds,122,68,16.5,FALSE,Pouch,400,845,24,23,8/1/2024,11/24/2026,None,Delayed,19260.32,3177.9527999999996
37,Fortune Original Grocery 286,Grocery,Fortune,342.81,15,291.39,4.5,223,31,Bengaluru,UrbanSeller,93,113,36.1,FALSE,Box,1000,605,18,55,12/30/2023,8/26/2025,None,On-Time,32927.07,11886.67227
38,Gowardhan Family Pack Dairy 56,Dairy,Gowardhan,113.69,0,113.69,4.4,272,18,Pune,DailyNeeds,120,37,33.8,FALSE,Can,500,22,24,23,6/8/2024,6/30/2024,None,On-Time,4206.53,1421.80714
39,DailyGreens Lite Fruits 791,Fruits & Vegetables,DailyGreens,285.43,0,285.43,3.5,167,21,Ahmedabad,SellerB,126,105,36.7,FALSE,Can,2000,13,25,41,11/24/2023,12/7/2023,None,On-Time,29970.15,10999.04505
40,Britannia Premium Bakery 316,Bakery,Britannia,73.37,10,66.03,4.2,101,24,Chennai,SellerB,97,390,25.4,FALSE,Box,750,6,19,97,1/19/2024,1/25/2024,None,On-Time,25751.7,6540.931799999999
41,Aavin Fresh Dairy 715,Dairy,Aavin,242.06,5,229.96,4.5,73,22,Delhi,SellerA,164,210,39.8,TRUE,Can,500,14,32,66,3/5/2024,3/19/2024,None,On-Time,48291.6,19220.0568
42,Lay's Organic Snacks 835,Snacks,Lay's,31.4,10,28.26,4.2,282,30,Bengaluru,LocalMart,123,86,36.5,TRUE,Bottle,400,115,24,47,6/11/2025,10/4/2025,None,On-Time,2430.36,887.0814
43,DailyGreens Fresh Fruits 127,Fruits & Vegetables,DailyGreens,27.72,5,26.33,5.0,175,22,Kolkata,SellerA,115,80,7.7,TRUE,Can,100,8,23,17,4/25/2025,5/3/2025,None,On-Time,2106.3999999999996,162.19279999999998
44,P&G Lite Personal 892,Personal Care,P&G,780.28,30,546.2,4.4,152,41,Mumbai,DailyNeeds,112,311,19.6,FALSE,Jar,250,1256,22,90,4/25/2024,10/3/2027,Buy1Get1,Delayed,169868.2,33294.1672
45,Lizol Family Pack Household 496,Household,Lizol,936.09,20,748.87,4.8,514,30,Jaipur,QuickStores,89,60,34.5,TRUE,Box,1000,864,17,29,2/14/2025,6/28/2027,FlatDiscount,On-Time,44932.2,15501.608999999999
46,P&G Family Pack Personal 921,Personal Care,P&G,675.51,10,607.96,3.4,87,24,Bengaluru,DailyNeeds,104,427,38.1,FALSE,Box,400,1585,20,92,10/15/2025,2/16/2030,Cashback,On-Time,259598.92,98907.18852
47,Parle Fresh Snacks 787,Snacks,Parle,256.4,0,256.4,3.7,459,29,Ahmedabad,LocalMart,131,359,17.5,FALSE,Jar,1000,289,26,94,11/14/2023,8/29/2024,None,On-Time,92047.59999999999,16108.329999999998
48,Britannia Daily Snacks 534,Snacks,Britannia,42.93,15,36.49,5.0,358,35,Lucknow,QuickStores,118,80,19.1,FALSE,Box,1000,198,23,37,9/5/2024,3/22/2025,None,On-Time,2919.2000000000003,557.5672000000001
49,Britannia Classic Snacks 810,Snacks,Britannia,48.86,0,48.86,4.5,385,36,Bengaluru,SellerB,85,1,20.3,FALSE,Jar,400,111,17,29,5/13/2024,9/1/2024,None,On-Time,48.86,9.91858
50,Surf Excel Original Household 330,Household,Surf Excel,908.95,5,863.5,5.0,48,25,Delhi,LocalMart,101,197,14.0,FALSE,Jar,1000,575,20,67,11/9/2023,6/6/2025,FlatDiscount,On-Time,170109.5,23815.33
51,Modern Original Bakery 102,Bakery,Modern,240.39,30,168.27,3.2,139,29,Ahmedabad,SellerA,125,34,17.1,FALSE,Pouch,100,4,25,13,3/28/2024,4/1/2024,Cashback,Delayed,5721.18,978.3217800000001
52,Fortune Classic Grocery 621,Grocery,Fortune,450.46,10,405.41,3.7,427,27,Hyderabad,LocalMart,95,25,8.1,FALSE,Can,750,641,19,6,1/23/2025,10/26/2026,None,On-Time,10135.25,820.95525
53,DailyGreens Premium Fruits 674,Fruits & Vegetables,DailyGreens,57.05,10,51.34,3.9,241,22,Mumbai,SellerB,125,277,7.9,TRUE,Bottle,250,5,25,76,5/15/2025,5/20/2025,None,On-Time,14221.18,1123.47322
54,BakeHouse Family Pack Bakery 348,Bakery,BakeHouse,439.32,25,329.49,4.1,131,25,Kolkata,QuickStores,132,117,22.0,FALSE,Pouch,300,6,26,22,7/29/2025,8/4/2025,FlatDiscount,On-Time,38550.33,8481.0726
55,Lay's Classic Snacks 607,Snacks,Lay's,189.29,5,179.83,5.0,137,26,Bengaluru,QuickStores,125,204,23.6,TRUE,Bottle,400,364,25,70,6/1/2025,5/31/2026,Cashback,On-Time,36685.32,8657.73552
56,BakeHouse Organic Bakery 766,Bakery,BakeHouse,71.44,5,67.87,3.4,126,23,Pune,LocalMart,111,40,16.5,TRUE,Can,100,8,22,5,9/22/2024,9/30/2024,FlatDiscount,On-Time,2714.8,447.94200000000006
57,Parle Organic Snacks 640,Snacks,Parle,44.73,20,35.78,5.0,156,33,Bengaluru,DailyNeeds,113,556,31.1,FALSE,Bottle,750,311,22,100,1/29/2024,12/5/2024,None,On-Time,19893.68,6186.934480000001
58,P&G Original Personal 387,Personal Care,P&G,362.38,0,362.38,3.8,182,21,Ahmedabad,QuickStores,124,50,13.3,TRUE,Packet,200,1009,24,19,7/12/2024,4/17/2027,None,Delayed,18119.0,2409.827
59,FreshFarm Family Pack Fruits 473,Fruits & Vegetables,FreshFarm,49.7,0,49.7,3.9,28,24,Kolkata,LocalMart,97,175,39.4,FALSE,Jar,1000,15,19,50,12/19/2023,1/3/2024,None,On-Time,8697.5,3426.815
60,Lizol Family Pack Household 174,Household,Lizol,156.44,5,148.62,3.9,21,37,Jaipur,SellerB,129,506,14.8,TRUE,Can,750,555,25,100,6/14/2024,12/21/2025,FreeDelivery,Delayed,75201.72,11129.85456
61,Britannia Original Bakery 560,Bakery,Britannia,389.36,0,389.36,3.8,236,11,Pune,LocalMart,118,28,25.3,FALSE,Packet,300,9,23,21,5/14/2025,5/23/2025,None,On-Time,10902.08,2758.22624
62,Coca-Cola Organic Beverages 841,Beverages,Coca-Cola,66.71,10,60.04,3.9,454,24,Hyderabad,QuickStores,127,31,28.9,FALSE,Pouch,500,461,25,22,8/28/2024,12/2/2025,Cashback,On-Time,1861.24,537.8983599999999
63,Britannia Family Pack Bakery 601,Bakery,Britannia,384.91,10,346.42,3.0,155,21,Chennai,QuickStores,131,55,11.3,FALSE,Packet,500,5,26,11,10/11/2025,10/16/2025,None,On-Time,19053.100000000002,2153.0003
64,FreshFarm Daily Fruits 812,Fruits & Vegetables,FreshFarm,35.93,15,30.54,4.8,132,25,Hyderabad,DailyNeeds,130,40,33.5,FALSE,Packet,100,5,26,22,3/25/2025,3/30/2025,FreeDelivery,On-Time,1221.6,409.236
65,Patanjali Classic Grocery 588,Grocery,Patanjali,339.29,10,305.36,4.6,523,28,Ahmedabad,SellerA,135,98,15.5,FALSE,Pouch,1000,451,27,13,10/8/2024,1/2/2026,FlatDiscount,On-Time,29925.280000000002,4638.4184000000005
66,Aashirvaad Lite Grocery 374,Grocery,Aashirvaad,378.85,10,340.97,4.4,376,28,Ahmedabad,LocalMart,83,67,37.9,FALSE,Jar,400,412,16,30,1/28/2024,3/15/2025,None,On-Time,22844.99,8658.25121
67,Patanjali Original Grocery 760,Grocery,Patanjali,321.3,5,305.24,4.4,245,22,Delhi,SellerA,101,35,15.9,FALSE,Box,500,621,20,25,3/25/2024,12/6/2025,None,On-Time,10683.4,1698.6606
68,Pepsi Original Beverages 130,Beverages,Pepsi,98.24,15,83.5,4.2,439,21,Hyderabad,LocalMart,135,393,10.2,FALSE,Bottle,1000,416,27,86,7/14/2024,9/3/2025,None,On-Time,32815.5,3347.1809999999996
69,Modern Original Bakery 125,Bakery,Modern,130.04,15,110.53,4.6,201,34,Chennai,LocalMart,100,41,36.8,FALSE,Jar,400,9,20,19,9/1/2024,9/10/2024,None,On-Time,4531.7300000000005,1667.6766400000001
70,Britannia Fresh Bakery 440,Bakery,Britannia,300.03,5,285.03,4.5,158,25,Chennai,LocalMart,100,43,35.5,FALSE,Pouch,750,6,20,24,11/5/2023,11/11/2023,FlatDiscount,On-Time,12256.289999999999,4350.98295
71,Gowardhan Organic Dairy 844,Dairy,Gowardhan,235.74,10,212.17,4.4,521,28,Kolkata,LocalMart,120,1,30.8,FALSE,Can,750,28,24,33,9/2/2025,9/30/2025,FlatDiscount,On-Time,212.17,65.34836
72,Tata Organic Grocery 857,Grocery,Tata,468.5,25,351.38,3.7,559,24,Delhi,LocalMart,113,126,19.0,TRUE,Box,500,605,22,37,4/24/2024,12/20/2025,None,On-Time,44273.88,8412.037199999999
73,Dove Original Personal 313,Personal Care,Dove,72.17,5,68.56,3.7,180,12,Pune,UrbanSeller,150,390,20.8,TRUE,Packet,200,653,30,76,6/15/2024,3/30/2026,Cashback,On-Time,26738.4,5561.587200000001
74,DailyGreens Classic Fruits 859,Fruits & Vegetables,DailyGreens,97.6,10,87.84,4.1,152,23,Delhi,QuickStores,112,362,27.1,FALSE,Jar,500,12,22,64,11/21/2024,12/3/2024,Cashback,Delayed,31798.08,8617.279680000001
75,Fortune Family Pack Grocery 75,Grocery,Fortune,26.29,15,22.35,4.1,343,28,Lucknow,QuickStores,140,82,36.4,TRUE,Jar,1000,489,28,34,8/22/2025,12/24/2026,None,On-Time,1832.7,667.1028
76,Aavin Family Pack Dairy 168,Dairy,Aavin,83.08,0,83.08,4.2,131,23,Kolkata,LocalMart,71,408,20.4,FALSE,Jar,1000,25,14,67,4/3/2024,4/28/2024,Cashback,On-Time,33896.64,6914.914559999999
77,BakeHouse Lite Bakery 336,Bakery,BakeHouse,212.37,10,191.13,4.0,156,23,Chennai,SellerB,127,324,19.3,FALSE,Box,200,12,25,61,11/7/2024,11/19/2024,FlatDiscount,Delayed,61926.119999999995,11951.74116
78,P&G Lite Personal 332,Personal Care,P&G,49.55,0,49.55,4.7,50,37,Mumbai,DailyNeeds,77,214,11.2,TRUE,Pouch,500,863,15,58,3/4/2024,7/15/2026,Buy1Get1,On-Time,10603.699999999999,1187.6143999999997
79,ITC Fresh Snacks 386,Snacks,ITC,199.3,0,199.3,4.1,512,25,Bengaluru,LocalMart,91,446,12.2,FALSE,Bottle,400,149,18,90,2/17/2024,7/15/2024,FlatDiscount,On-Time,88887.8,10844.311599999999
80,Aavin Fresh Dairy 652,Dairy,Aavin,101.56,20,81.25,4.4,226,17,Delhi,SellerB,109,13,18.3,FALSE,Can,250,30,21,8,1/1/2024,1/31/2024,None,On-Time,1056.25,193.29375
81,Patanjali Fresh Grocery 679,Grocery,Patanjali,303.34,5,288.17,3.6,102,45,Lucknow,QuickStores,107,345,33.0,TRUE,Pouch,1000,591,21,74,1/6/2025,8/20/2026,FlatDiscount,On-Time,99418.65000000001,32808.154500000004
82,Britannia Classic Bakery 379,Bakery,Britannia,224.1,0,224.1,4.4,230,17,Bengaluru,SellerA,81,6,14.5,FALSE,Packet,400,9,16,16,3/28/2025,4/6/2025,FlatDiscount,On-Time,1344.6,194.96699999999998
83,Fortune Lite Grocery 512,Grocery,Fortune,28.83,25,21.62,4.3,498,21,Kolkata,DailyNeeds,102,35,5.4,FALSE,Packet,200,500,20,25,1/7/2025,5/22/2026,None,On-Time,756.7,40.8618
84,Tropicana Classic Beverages 143,Beverages,Tropicana,60.86,25,45.64,4.3,513,35,Mumbai,SellerA,111,176,18.4,FALSE,Bottle,1500,120,22,56,6/19/2025,10/17/2025,FreeDelivery,On-Time,8032.64,1478.00576
85,Patanjali Daily Grocery 944,Grocery,Patanjali,269.08,0,269.08,4.5,366,19,Hyderabad,UrbanSeller,86,4,17.4,FALSE,Box,200,699,17,7,6/1/2024,5/1/2026,None,On-Time,1076.32,187.27967999999998
86,Aashirvaad Daily Grocery 167,Grocery,Aashirvaad,365.14,5,346.88,3.7,491,37,Pune,LocalMart,111,68,6.8,TRUE,Can,400,209,22,5,4/29/2024,11/24/2024,None,Delayed,23587.84,1603.97312
87,Dove Premium Personal 235,Personal Care,Dove,412.2,10,370.98,4.8,44,28,Jaipur,UrbanSeller,89,496,20.2,TRUE,Pouch,300,1135,17,100,12/30/2024,2/8/2028,None,On-Time,184006.08000000002,37169.22816
88,Dettol Classic Household 954,Household,Dettol,284.08,20,227.26,4.5,36,33,Bengaluru,SellerB,130,2,24.0,TRUE,Box,1000,1720,26,13,1/4/2025,9/20/2029,None,On-Time,454.52,109.0848
89,Harpic Classic Household 403,Household,Harpic,879.3,15,747.4,4.5,198,36,Mumbai,QuickStores,134,28,39.6,FALSE,Can,400,458,26,20,6/9/2024,9/10/2025,None,On-Time,20927.2,8287.1712
90,Mother Dairy Organic Dairy 266,Dairy,Mother Dairy,238.25,0,238.25,4.4,426,29,Bengaluru,QuickStores,100,266,39.0,TRUE,Packet,1000,12,20,65,3/8/2024,3/20/2024,None,On-Time,63374.5,24716.055
91,P&G Lite Personal 932,Personal Care,P&G,757.09,10,681.38,4.2,217,25,Delhi,DailyNeeds,91,10,9.2,TRUE,Box,750,1539,18,19,12/15/2024,3/3/2029,Buy1Get1,On-Time,6813.8,626.8696
92,Patanjali Premium Grocery 382,Grocery,Patanjali,56.94,15,48.4,4.8,112,27,Jaipur,DailyNeeds,128,102,26.9,FALSE,Pouch,750,288,25,48,7/3/2024,4/17/2025,None,On-Time,4936.8,1327.9991999999997
93,Patanjali Organic Grocery 813,Grocery,Patanjali,445.27,10,400.74,4.2,402,33,Kolkata,QuickStores,125,123,27.0,TRUE,Can,300,537,25,11,10/21/2024,4/11/2026,Buy1Get1,Delayed,49291.020000000004,13308.5754
94,Pepsi Classic Beverages 199,Beverages,Pepsi,307.68,30,215.38,4.0,192,35,Kolkata,SellerB,124,154,15.1,TRUE,Bottle,1000,327,24,32,5/27/2025,4/19/2026,Buy1Get1,On-Time,33168.52,5008.4465199999995
95,Dove Original Personal 500,Personal Care,Dove,258.16,0,258.16,4.2,53,31,Ahmedabad,DailyNeeds,125,175,35.8,FALSE,Can,100,1085,25,38,3/30/2025,3/19/2028,None,On-Time,45178.00000000001,16173.724000000002
96,Amul Daily Dairy 901,Dairy,Amul,238.39,10,214.55,3.6,520,32,Mumbai,UrbanSeller,139,2,11.2,TRUE,Can,1000,21,27,7,6/13/2025,7/4/2025,FlatDiscount,Delayed,429.1,48.059200000000004
97,Gowardhan Fresh Dairy 379,Dairy,Gowardhan,86.3,0,86.3,3.9,333,37,Ahmedabad,LocalMart,79,73,10.4,FALSE,Pouch,750,29,15,34,1/22/2024,2/20/2024,FlatDiscount,On-Time,6299.9,655.1896
98,Lay's Family Pack Snacks 586,Snacks,Lay's,246.59,0,246.59,4.3,354,23,Jaipur,SellerB,105,145,9.5,FALSE,Packet,750,233,21,47,9/22/2025,5/13/2026,FlatDiscount,On-Time,35755.55,3396.7772500000005
99,P&G Daily Personal 146,Personal Care,P&G,714.34,25,535.75,4.3,221,26,Hyderabad,QuickStores,97,2,14.1,FALSE,Box,200,1558,19,0,9/6/2025,12/12/2029,None,On-Time,1071.5,151.0815
100,FreshFarm Classic Fruits 367,Fruits & Vegetables,FreshFarm,292.13,10,262.92,3.9,285,25,Hyderabad,UrbanSeller,130,380,17.2,FALSE,Jar,2000,4,26,88,8/19/2025,8/23/2025,FlatDiscount,On-Time,99909.6,17184.4512
101,Aavin Organic Dairy 234,Dairy,Aavin,182.38,10,164.14,4.5,248,23,Chennai,DailyNeeds,96,260,34.3,FALSE,Bottle,250,16,19,74,2/8/2024,2/24/2024,FlatDiscount,On-Time,42676.399999999994,14638.005199999998
102,Aavin Original Dairy 661,Dairy,Aavin,186.47,15,158.5,4.9,224,31,Bengaluru,SellerB,103,38,31.0,FALSE,Jar,1000,8,20,18,12/21/2024,12/29/2024,None,On-Time,6023.0,1867.13
103,BakeHouse Organic Bakery 820,Bakery,BakeHouse,97.16,20,77.73,4.2,191,37,Ahmedabad,SellerB,108,203,14.1,FALSE,Bottle,500,12,21,53,6/3/2025,6/15/2025,FreeDelivery,On-Time,15779.19,2224.86579
104,Lizol Lite Household 215,Household,Lizol,652.31,10,587.08,4.0,158,34,Jaipur,SellerB,136,381,37.6,FALSE,Box,200,1821,27,71,4/8/2025,4/3/2030,Cashback,On-Time,223677.48,84102.73248000002
105,Minute Maid Family Pack Beverages 977,Beverages,Minute Maid,49.34,25,37.01,4.0,308,29,Bengaluru,DailyNeeds,91,4,26.7,FALSE,Packet,500,103,18,20,12/25/2024,4/7/2025,None,On-Time,148.04,39.52668
106,Lay's Classic Snacks 433,Snacks,Lay's,23.27,20,18.62,3.9,240,27,Delhi,QuickStores,107,180,32.0,FALSE,Bottle,250,79,21,24,8/16/2024,11/3/2024,Cashback,On-Time,3351.6000000000004,1072.5120000000002
107,Tropicana Family Pack Beverages 680,Beverages,Tropicana,243.9,5,231.7,3.5,35,16,Mumbai,SellerA,104,368,14.6,FALSE,Can,1500,360,20,91,1/3/2025,12/29/2025,None,On-Time,85265.59999999999,12448.777599999998
108,Surf Excel Premium Household 294,Household,Surf Excel,953.32,0,953.32,4.5,147,32,Jaipur,DailyNeeds,88,334,13.0,FALSE,Can,100,1659,17,79,4/7/2025,10/22/2029,FlatDiscount,Delayed,318408.88,41393.1544
109,Lizol Premium Household 679,Household,Lizol,252.45,0,252.45,3.6,239,35,Kolkata,LocalMart,105,240,32.2,TRUE,Can,500,503,21,51,4/18/2025,9/3/2026,FlatDiscount,Delayed,60588.0,19509.336
110,Gowardhan Family Pack Dairy 94,Dairy,Gowardhan,201.89,20,161.51,4.5,355,31,Hyderabad,QuickStores,99,19,9.4,FALSE,Pouch,750,14,19,18,8/30/2025,9/13/2025,FlatDiscount,Delayed,3068.6899999999996,288.45686
111,Himalaya Premium Personal 410,Personal Care,Himalaya,557.89,5,530.0,4.2,143,17,Chennai,UrbanSeller,93,30,20.9,FALSE,Jar,1000,1658,18,27,5/1/2024,11/14/2028,Cashback,On-Time,15900.0,3323.1
112,Britannia Organic Bakery 256,Bakery,Britannia,25.58,0,25.58,4.0,79,12,Kolkata,SellerA,94,61,6.4,FALSE,Can,1000,6,18,26,12/4/2023,12/10/2023,Buy1Get1,On-Time,1560.3799999999999,99.86432
113,P&G Daily Personal 329,Personal Care,P&G,399.99,0,399.99,4.2,103,19,Chennai,DailyNeeds,141,68,17.3,FALSE,Packet,500,747,28,25,3/19/2025,4/5/2027,FlatDiscount,On-Time,27199.32,4705.48236
114,Surf Excel Lite Household 130,Household,Surf Excel,81.54,0,81.54,3.7,172,31,Jaipur,SellerB,119,125,8.7,TRUE,Pouch,500,1718,23,27,8/25/2024,5/9/2029,None,On-Time,10192.5,886.7475
115,FreshFarm Family Pack Fruits 409,Fruits & Vegetables,FreshFarm,258.21,15,219.48,4.2,206,21,Delhi,UrbanSeller,147,32,33.5,FALSE,Box,100,4,29,29,9/14/2025,9/18/2025,FlatDiscount,On-Time,7023.36,2352.8256
